 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2026/01/30 16:07
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2023/09/11  10:00:05   Halo    360    449     477    419    422     -2.1*   -------    -------    165   Fixed the MVI roll angle issue on 2026-01-30
2023/09/11  22:36:05   Halo    360   1060    1205    929    988    -19.4    -------    -------     30   Fixed the MVI roll angle issue on 2026-01-30
2023/09/12  00:00:06    285     81    258     185    330    377      4.7*   -------    -------    294   Fixed the MVI roll angle issue on 2026-01-30
2023/09/12  19:12:05     91     21    528     601    460    293    -11.5*   1.2e+14    1.7e+29     95   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/12  21:12:10    133     73    178      70    283    324      4.2*   -------    -------    141   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/13  04:48:05     54     61    389     440    335    292     -4.5*   -------    -------     51   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/13  11:00:05    128     17    302     172    441    820     26.8*   -------    -------    129   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/13  13:36:27    103     34    757     770    744    731     -2.4*   -------    -------    112   Fixed the MVI roll angle issue on 2026-01-30
2023/09/13  18:12:05     60     17    289     120    468   1610    105.1*   -------    -------     59   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/13  20:24:05    108    120    554     667    442    286    -14.9*   -------    -------    100   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/14  04:00:05    135     23    631     714    552    459    -12.2*   -------    -------    135   Fixed the MVI roll angle issue on 2026-01-30
2023/09/14  07:24:05   Halo    360    804     752    857    841      6.0    -------    -------    303   Fixed the MVI roll angle issue on 2026-01-30
2023/09/14  23:12:10    118    161    268     301    234    131     -3.1*   -------    -------    115   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Partial Halo
2023/09/15  02:48:05    347    157    239       0    577    511     10.9    -------    -------    351   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/15  07:12:06    274     16    358     351    364    372      0.7*   -------    -------    277   Fixed the MVI roll angle issue on 2026-01-30
2023/09/15  07:36:05     77     23    381     477    289      0    -32.4*   -------    -------     84   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/15  15:12:09     67     14    439     423    457    603      7.8*   -------    -------     68   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only 3 points; Only C2
2023/09/15  19:00:05     81     55    215     226    205      0     -3.5*   -------    -------     84   Fixed the MVI roll angle issue on 2026-01-30; Only C2
2023/09/15  23:24:06    327     29    455     415    494    556      6.1*   -------    -------    327   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/16  06:12:05     50    146    412     278    553    534      8.5    -------    -------     34   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/16  09:12:10   Halo    360    703     563    861    833     15.8*   -------    -------    272   Fixed the MVI roll angle issue on 2026-01-30
2023/09/17  01:48:05     84     73    310     274    349    441      4.9*   -------    -------    106   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/17  06:48:05     97     35    265     154    371    656     16.8*   -------    -------    109   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event
2023/09/17  09:24:05     71     52    440     462    420    353     -3.6*   -------    -------     81   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/17  11:12:06     59     42    444     585    299      0    -29.0*   -------    -------     57   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/17  12:12:05    183    214    590     281    939    829     25.3    -------    -------    208   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/17  15:48:06    274     16    577     403    751   1544     91.8*   -------    -------    272   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/17  16:36:07     90     64    284     131    418    766     23.5*   -------    -------     96   Fixed the MVI roll angle issue on 2026-01-30
2023/09/17  20:56:51    110    273    263     182    340    459      7.3*   -------    -------    150   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Partial Halo
2023/09/17  21:12:10    193     34    406     341    475    487      5.1*   -------    -------    192   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/18  02:48:05    104     43    239     312    176      0     -9.7*   -------    -------    106   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/18  07:12:06     96     87    435     397    473    577      7.4*   -------    -------     96   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/18  11:24:05    302    214    305     239    377    388      3.8    -------    -------    328   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/18  14:36:06     89     52    478     475    481    482      0.3*   -------    -------     93   Fixed the MVI roll angle issue on 2026-01-30
2023/09/18  16:00:05    188     22    282     319    239    204     -2.8*   -------    -------    184   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/18  19:48:06     91     30    251     170    329    752     21.9*   -------    -------     94   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/18  20:57:25    127     79    398     458    333      0    -12.9*   -------    -------    125   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/19  03:36:05    272     19    192     161    219    522     10.1*   -------    -------    266   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/19  04:24:07    142    100    473     457    490    547      3.7*   -------    -------    121   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/19  06:24:06    261     55    140     130    151    266      2.2*   -------    -------    264   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/19  10:00:06    139    125    418     605    230      0    -25.5*   -------    -------    128   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Partial Halo
2023/09/19  11:12:06    270     80    188     207    169      0     -3.3*   -------    -------    288   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/19  13:36:06     98     35    290     212    375    660     16.5*   -------    -------    105   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
