 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2024/01/02 19:33
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2008/05/25  10:34:04    294     18    238     199    282    337      3.1*   -------    -------    298   Poor Event
2008/05/25  19:54:04     82     32    215      89    352    310      3.7*   4.3e+12    9.9e+26     87   Poor Event
2008/05/26  12:06:04     66     15    263     216    315    443      6.7*   -------    -------     72   Very Poor Event
2008/05/27  01:54:04    281      8    369     346    391    603     10.0*   -------    -------    280   Very Poor Event; Only C2
2008/05/27  04:06:04    255     24    445     519    376      0    -15.6*   1.1e+14    1.1e+29    260   Poor Event
2008/05/27  06:54:04     89      7    244     207    279    464      8.2*   -------    -------     83   Very Poor Event
2008/05/27  07:31:43    247     34    477     401    555    687     13.3*   2.9e+14    3.3e+29    264   
2008/05/27  18:06:04    293     12    215     192    239    395      5.6*   -------    -------    293   Very Poor Event
2008/05/28  05:30:05    102     31    166     153    179    389      5.2*   3.1e+13    4.2e+27     97   Very Poor Event; Only C2
2008/05/29  18:06:04    328      7    196      26    372   1274     67.4*   -------    -------    325   Very Poor Event; Only 3 points; Only C2
2008/05/30  02:54:28     85     16    129     214     44      0    -47.2*   -------    -------     84   Very Poor Event; Only C2
2008/05/30  09:30:04    272      5    256     161    361   1495     92.9*   -------    -------    277   Very Poor Event; Only 3 points; Only C2
2008/05/30  23:30:04    283     17    259     155    358    776     23.8*   -------    -------    288   Very Poor Event; Only C2
2008/05/31  03:54:08    168      6    255    ----   ----   ----   ------    -------    -------    163   Very Poor Event; Only 2 points; Only C2
