 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2024/01/02 19:52
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2009/09/16  13:31:50    191      6    341     212    482   1782    130.7*   -------    -------    197   Very Poor Event; Only 3 points; Only C2
2009/09/17  09:54:03     80     12     90     126     51      0    -12.7*   -------    -------     81   Very Poor Event; Only C2
2009/09/17  12:30:03    337      8    357     209    501   1181     55.9*   -------    -------    332   Poor Event; Only C2
2009/09/17  13:31:35     12      8    280       1    585   2588    282.7*   -------    -------     16   Very Poor Event; Only 3 points; Only C2
2009/09/17  16:18:04    261     12    193     159    229    306      3.5*   -------    -------    262   Very Poor Event; Only C3
2009/09/17  17:06:03    337      8    297     244    350    971     36.9*   -------    -------    334   Very Poor Event; Only 3 points; Only C2
2009/09/17  18:30:03    342      4    364     166    582   2160    192.4*   -------    -------    338   Very Poor Event; Only 3 points; Only C2
2009/09/18  00:06:03     81      7    145     166    123      0     -2.2*   -------    -------     83   Very Poor Event
2009/09/18  03:54:03     83      6    221     184    256    652     16.3*   -------    -------     84   Very Poor Event; Only C2
2009/09/18  04:30:03     40      5    417     316    528   1560     98.5*   -------    -------     44   Very Poor Event; Only 3 points; Only C2
2009/09/18  21:30:03     78     33     66      44     86    133      0.7*   1.2e+14    2.6e+27     84   Poor Event
2009/09/19  10:33:58    194      8    269     378    155      0    -66.4*   -------    -------    198   Very Poor Event; Only 3 points; Only C2
2009/09/20  07:31:35    123      8    151     148    153    211      0.9*   -------    -------    122   Very Poor Event; Only C2
2009/09/20  15:30:03    133      8    173     185    161      0     -3.0*   -------    -------    129   Poor Event; Only C2
2009/09/21  02:30:24     90     11    162     103    226    265      2.5*   -------    -------     92   Poor Event
2009/09/21  02:30:24    264     26    180     170    191    229      1.0*   4.2e+13    6.8e+27    267   Poor Event
2009/09/21  06:54:03    161      4    323     335    311      0     -6.6*   -------    -------    156   Very Poor Event; Only 3 points; Only C2
2009/09/21  06:54:03    358     10    417     196    654   1753    127.3*   -------    -------    357   Very Poor Event; Only 3 points; Only C2
2009/09/21  17:30:03    241    106    145      46    245    268      2.9*   2.4e+15    2.5e+29    248   Poor Event
2009/09/22  03:30:03    343      6    425     168    709   2452    250.6*   -------    -------    341   Very Poor Event; Only 3 points; Only C2
2009/09/22  09:08:02    128      9    382     357    408    630     11.0*   -------    -------    126   Very Poor Event; Only C2
2009/09/22  09:30:03    263     44    168      74    272    230      2.0*   2.6e+12    3.6e+26    255   
2009/09/22  19:54:03    270     27    222     253    186    111     -2.2*   3.3e+13    8.0e+27    265   Poor Event
2009/09/23  05:06:03    261     12    206     251    158      0     -4.9*   -------    -------    260   Very Poor Event
2009/09/23  22:30:03    286     20    287     233    343    449      6.1*   7.7e+13    3.2e+28    278   
2009/09/24  02:30:04    288     17    272     315    226      0     -4.4*   -------    -------    282   Poor Event
2009/09/24  06:54:03     94     62    244     229    258    368      3.4*   1.5e+14    4.4e+28     98   Only C2
2009/09/24  10:30:16    159      9    246     179    318    990     38.8*   -------    -------    156   Very Poor Event; Only 3 points; Only C2
2009/09/24  20:30:03    289      9    244     166    320    819     26.7*   -------    -------    282   Very Poor Event; Only C2
2009/09/25  13:31:38    337     10    586     435    751   1911    152.9*   -------    -------    335   Very Poor Event; Only 3 points; Only C2
2009/09/25  13:31:38     61     19     71      90     50      0     -1.7*   -------    -------     47   Very Poor Event; Only C2
2009/09/26  11:30:03    355      7    317     358    278      0    -16.5*   -------    -------    355   Very Poor Event; Only C2
2009/09/26  18:30:03    243      5    199     179    219    477      8.1*   -------    -------    249   Very Poor Event; Only C2
2009/09/26  20:30:03     87     74    194       0    370    316      4.1    2.1e+15    4.0e+29     78   
2009/09/27  06:54:03      0      7    368     144    610   1765    129.2*   -------    -------      1   Very Poor Event; Only 3 points; Only C2
2009/09/27  10:33:58     33      5    433     501    364      0    -28.5*   -------    -------     41   Very Poor Event; Only C2
2009/09/27  10:33:58    239      9    189     213    165      0    -10.0*   -------    -------    243   Very Poor Event; Only C2
2009/09/28  02:30:03     76     13    235     201    271    297      2.2*   -------    -------     81   Very Poor Event
2009/09/28  05:30:03     88     25    179     169    189    217      0.8*   1.1e+13    1.8e+27     86   Very Poor Event
2009/09/28  09:30:03    270     47     99       0    211    225      2.1*   6.2e+14    3.0e+28    277   Poor Event
2009/09/28  11:30:03     94     35    125      97    152    249      2.2*   6.7e+13    5.2e+27     93   Very Poor Event
2009/09/29  01:54:03     21      4    332     540    143      0   -183.7*   -------    -------     26   Very Poor Event; Only 3 points; Only C2
2009/09/29  05:08:02    328      6    483     194    769   1959    159.1*   -------    -------    321   Very Poor Event; Only C2
2009/09/29  06:06:03    277      6    210     287    133      0    -35.8*   -------    -------    275   Very Poor Event
2009/09/29  08:06:03      6      5    505     249    761   2078    177.9*   -------    -------      7   Very Poor Event; Only 3 points; Only C2
2009/09/29  22:06:03    287     13    216     164    265    444      7.5*   -------    -------    278   Very Poor Event
2009/09/30  05:18:15    277      8    382     340    425    463      5.0*   -------    -------    278   Poor Event; Only C3
2009/09/30  13:42:03    102     55    145      82    216    208      1.8*   1.1e+15    1.1e+29     98   Only C3
