source_airport,destination_airport,source_latitude,source_longitude,destination_latitude,destination_longitude
AER,KZN,43.449902,39.9566,55.606201171875,49.278701782227
ASF,KZN,46.2832984924,48.0063018799,55.606201171875,49.278701782227
ASF,MRV,46.2832984924,48.0063018799,44.225101470947266,43.08190155029297
CEK,KZN,55.305801,61.5033,55.606201171875,49.278701782227
CEK,OVB,55.305801,61.5033,55.012599945068,82.650703430176
DME,KZN,55.40879821777344,37.90629959106445,55.606201171875,49.278701782227
DME,NBC,55.40879821777344,37.90629959106445,55.564701080322266,52.092498779296875
DME,TGK,55.40879821777344,37.90629959106445,47.1983333,38.8491667
DME,UUA,55.40879821777344,37.90629959106445,54.63999938964844,52.801700592041016
EGO,KGD,50.643798828125,36.5900993347168,54.88999938964844,20.592599868774414
EGO,KZN,50.643798828125,36.5900993347168,55.606201171875,49.278701782227
GYD,NBC,40.467498779296875,50.04669952392578,55.564701080322266,52.092498779296875
KGD,EGO,54.88999938964844,20.592599868774414,50.643798828125,36.5900993347168
KZN,AER,55.606201171875,49.278701782227,43.449902,39.9566
KZN,ASF,55.606201171875,49.278701782227,46.2832984924,48.0063018799
KZN,CEK,55.606201171875,49.278701782227,55.305801,61.5033
KZN,DME,55.606201171875,49.278701782227,55.40879821777344,37.90629959106445
KZN,EGO,55.606201171875,49.278701782227,50.643798828125,36.5900993347168
KZN,LED,55.606201171875,49.278701782227,59.80030059814453,30.262500762939453
KZN,SVX,55.606201171875,49.278701782227,56.743099212646,60.802700042725
LED,KZN,59.80030059814453,30.262500762939453,55.606201171875,49.278701782227
LED,NBC,59.80030059814453,30.262500762939453,55.564701080322266,52.092498779296875
LED,UUA,59.80030059814453,30.262500762939453,54.63999938964844,52.801700592041016
MRV,ASF,44.225101470947266,43.08190155029297,46.2832984924,48.0063018799
NBC,DME,55.564701080322266,52.092498779296875,55.40879821777344,37.90629959106445
NBC,GYD,55.564701080322266,52.092498779296875,40.467498779296875,50.04669952392578
NBC,LED,55.564701080322266,52.092498779296875,59.80030059814453,30.262500762939453
NBC,SVX,55.564701080322266,52.092498779296875,56.743099212646,60.802700042725
NJC,SVX,60.94929885864258,76.48359680175781,56.743099212646,60.802700042725
NJC,UUA,60.94929885864258,76.48359680175781,54.63999938964844,52.801700592041016
NUX,SVX,66.06939697265625,76.52030181884766,56.743099212646,60.802700042725
OVB,CEK,55.012599945068,82.650703430176,55.305801,61.5033
OVB,SVX,55.012599945068,82.650703430176,56.743099212646,60.802700042725
SVX,KZN,56.743099212646,60.802700042725,55.606201171875,49.278701782227
SVX,NBC,56.743099212646,60.802700042725,55.564701080322266,52.092498779296875
SVX,NJC,56.743099212646,60.802700042725,60.94929885864258,76.48359680175781
SVX,NUX,56.743099212646,60.802700042725,66.06939697265625,76.52030181884766
SVX,OVB,56.743099212646,60.802700042725,55.012599945068,82.650703430176
TGK,DME,47.1983333,38.8491667,55.40879821777344,37.90629959106445
UUA,DME,54.63999938964844,52.801700592041016,55.40879821777344,37.90629959106445
UUA,LED,54.63999938964844,52.801700592041016,59.80030059814453,30.262500762939453
UUA,NJC,54.63999938964844,52.801700592041016,60.94929885864258,76.48359680175781
BTK,IKT,56.370601654052734,101.697998046875,52.268001556396,104.38899993896
BTK,OVB,56.370601654052734,101.697998046875,55.012599945068,82.650703430176
HTA,IKT,52.026299,113.306,52.268001556396,104.38899993896
IKT,BTK,52.268001556396,104.38899993896,56.370601654052734,101.697998046875
IKT,HTA,52.268001556396,104.38899993896,52.026299,113.306
IKT,KCK,52.268001556396,104.38899993896,57.773,108.064
IKT,ODO,52.268001556396,104.38899993896,57.866100311299995,114.242996216
IKT,OVB,52.268001556396,104.38899993896,55.012599945068,82.650703430176
IKT,UKX,52.268001556396,104.38899993896,56.8567008972168,105.7300033569336
IKT,ULK,52.268001556396,104.38899993896,60.7206001282,114.825996399
IKT,YKS,52.268001556396,104.38899993896,62.093299865722656,129.77099609375
KCK,IKT,57.773,108.064,52.268001556396,104.38899993896
MJZ,OVB,62.534698486328125,114.03900146484375,55.012599945068,82.650703430176
ODO,IKT,57.866100311299995,114.242996216,52.268001556396,104.38899993896
OVB,BTK,55.012599945068,82.650703430176,56.370601654052734,101.697998046875
OVB,IKT,55.012599945068,82.650703430176,52.268001556396,104.38899993896
UKX,IKT,56.8567008972168,105.7300033569336,52.268001556396,104.38899993896
ULK,IKT,60.7206001282,114.825996399,52.268001556396,104.38899993896
YKS,IKT,62.093299865722656,129.77099609375,52.268001556396,104.38899993896
AYP,LIM,-13.154800415039062,-74.20439910888672,-12.0219,-77.114305
CUZ,LIM,-13.535699844400002,-71.9387969971,-12.0219,-77.114305
CUZ,PEM,-13.535699844400002,-71.9387969971,-12.6135997772,-69.2285995483
HUU,LIM,-9.878809928894043,-76.20480346679688,-12.0219,-77.114305
IQT,PCL,-3.7847399711608887,-73.30879974365234,-8.37794017791748,-74.57430267333984
IQT,TPP,-3.7847399711608887,-73.30879974365234,-6.508739948272705,-76.37319946289062
LIM,AYP,-12.0219,-77.114305,-13.154800415039062,-74.20439910888672
LIM,CUZ,-12.0219,-77.114305,-13.535699844400002,-71.9387969971
LIM,HUU,-12.0219,-77.114305,-9.878809928894043,-76.20480346679688
LIM,PCL,-12.0219,-77.114305,-8.37794017791748,-74.57430267333984
LIM,TPP,-12.0219,-77.114305,-6.508739948272705,-76.37319946289062
PCL,IQT,-8.37794017791748,-74.57430267333984,-3.7847399711608887,-73.30879974365234
PCL,LIM,-8.37794017791748,-74.57430267333984,-12.0219,-77.114305
PCL,TPP,-8.37794017791748,-74.57430267333984,-6.508739948272705,-76.37319946289062
PEM,CUZ,-12.6135997772,-69.2285995483,-13.535699844400002,-71.9387969971
TPP,IQT,-6.508739948272705,-76.37319946289062,-3.7847399711608887,-73.30879974365234
TPP,LIM,-6.508739948272705,-76.37319946289062,-12.0219,-77.114305
TPP,PCL,-6.508739948272705,-76.37319946289062,-8.37794017791748,-74.57430267333984
ABJ,BOY,5.261390209197998,-3.9262900352478027,11.160099983215332,-4.33096981048584
ABJ,OUA,5.261390209197998,-3.9262900352478027,12.3532,-1.51242
ACC,OUA,5.605189800262451,-0.16678600013256073,12.3532,-1.51242
BKO,ABJ,12.5335,-7.94994,5.261390209197998,-3.9262900352478027
BKO,DKR,12.5335,-7.94994,14.739700317382812,-17.49020004272461
BKO,OUA,12.5335,-7.94994,12.3532,-1.51242
BOY,ABJ,11.160099983215332,-4.33096981048584,5.261390209197998,-3.9262900352478027
BOY,OUA,11.160099983215332,-4.33096981048584,12.3532,-1.51242
COO,LFW,6.357230186462402,2.384350061416626,6.165609836578369,1.2545100450515747
COO,OUA,6.357230186462402,2.384350061416626,12.3532,-1.51242
DKR,BKO,14.739700317382812,-17.49020004272461,12.5335,-7.94994
DKR,OUA,14.739700317382812,-17.49020004272461,12.3532,-1.51242
LFW,OUA,6.165609836578369,1.2545100450515747,12.3532,-1.51242
NIM,OUA,13.4815,2.18361,12.3532,-1.51242
OUA,ABJ,12.3532,-1.51242,5.261390209197998,-3.9262900352478027
OUA,ACC,12.3532,-1.51242,5.605189800262451,-0.16678600013256073
OUA,BKO,12.3532,-1.51242,12.5335,-7.94994
OUA,BOY,12.3532,-1.51242,11.160099983215332,-4.33096981048584
OUA,COO,12.3532,-1.51242,6.357230186462402,2.384350061416626
OUA,DKR,12.3532,-1.51242,14.739700317382812,-17.49020004272461
OUA,LFW,12.3532,-1.51242,6.165609836578369,1.2545100450515747
OUA,NIM,12.3532,-1.51242,13.4815,2.18361
BOG,GYE,4.70159,-74.1469,-2.1574199199699997,-79.88359832760001
BOG,UIO,4.70159,-74.1469,-0.129166666667,-78.3575
CLO,GYE,3.54322,-76.3816,-2.1574199199699997,-79.88359832760001
GYE,BOG,-2.1574199199699997,-79.88359832760001,4.70159,-74.1469
GYE,CLO,-2.1574199199699997,-79.88359832760001,3.54322,-76.3816
GYE,SCY,-2.1574199199699997,-79.88359832760001,-0.910206,-89.617401
GYE,UIO,-2.1574199199699997,-79.88359832760001,-0.129166666667,-78.3575
OCC,UIO,-0.4628860056400299,-76.98680114746094,-0.129166666667,-78.3575
SCY,GYE,-0.910206,-89.617401,-2.1574199199699997,-79.88359832760001
UIO,BOG,-0.129166666667,-78.3575,4.70159,-74.1469
UIO,GYE,-0.129166666667,-78.3575,-2.1574199199699997,-79.88359832760001
UIO,OCC,-0.129166666667,-78.3575,-0.4628860056400299,-76.98680114746094
BDS,ZRH,40.6576,17.947001,47.464699,8.54917
BOD,ZRH,44.828300476100004,-0.715556025505,47.464699,8.54917
BRS,ZRH,51.382702,-2.71909,47.464699,8.54917
GVA,LPA,46.23809814453125,6.108950138092041,27.931900024414062,-15.38659954071045
LCA,ZRH,34.875099182128906,33.624900817871094,47.464699,8.54917
LPA,ZRH,27.931900024414062,-15.38659954071045,47.464699,8.54917
RMF,ZRH,25.557100296,34.5836982727,47.464699,8.54917
TFS,GVA,28.044500351,-16.5725002289,46.23809814453125,6.108950138092041
ZRH,BDS,47.464699,8.54917,40.6576,17.947001
ZRH,BOD,47.464699,8.54917,44.828300476100004,-0.715556025505
ZRH,BRS,47.464699,8.54917,51.382702,-2.71909
ZRH,LCA,47.464699,8.54917,34.875099182128906,33.624900817871094
ZRH,LPA,47.464699,8.54917,27.931900024414062,-15.38659954071045
ZRH,RMF,47.464699,8.54917,25.557100296,34.5836982727
AJR,LYC,65.59030151367188,19.28190040588379,64.54830169677734,18.71619987487793
ARN,GEV,59.651901245117,17.918600082397,67.13240051269531,20.814599990844727
ARN,HAD,59.651901245117,17.918600082397,56.69110107421875,12.820199966430664
ARN,JKG,59.651901245117,17.918600082397,57.757598876953125,14.068699836730957
ARN,KRF,59.651901245117,17.918600082397,63.04859924316406,17.76889991760254
ARN,KSD,59.651901245117,17.918600082397,59.444698333699996,13.337400436400001
ARN,LYC,59.651901245117,17.918600082397,64.54830169677734,18.71619987487793
ARN,MHQ,59.651901245117,17.918600082397,60.122200012207,19.898199081421
ARN,OER,59.651901245117,17.918600082397,63.40829849243164,18.989999771118164
ARN,POR,59.651901245117,17.918600082397,61.461700439453,21.799999237061
ARN,TRF,59.651901245117,17.918600082397,59.1866989136,10.258600235
ARN,VBY,59.651901245117,17.918600082397,57.662799835205,18.346200942993
ARN,VHM,59.651901245117,17.918600082397,64.5791015625,16.833599090576172
ARN,VXO,59.651901245117,17.918600082397,56.929100036621094,14.727999687194824
GEV,ARN,67.13240051269531,20.814599990844727,59.651901245117,17.918600082397
GEV,KRF,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254
HAD,ARN,56.69110107421875,12.820199966430664,59.651901245117,17.918600082397
HAD,JKG,56.69110107421875,12.820199966430664,57.757598876953125,14.068699836730957
HAD,VXO,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824
HMV,VHM,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172
JKG,ARN,57.757598876953125,14.068699836730957,59.651901245117,17.918600082397
JKG,HAD,57.757598876953125,14.068699836730957,56.69110107421875,12.820199966430664
KOK,POR,63.721199035645,23.143100738525,61.461700439453,21.799999237061
KRF,ARN,63.04859924316406,17.76889991760254,59.651901245117,17.918600082397
KRF,GEV,63.04859924316406,17.76889991760254,67.13240051269531,20.814599990844727
KSD,ARN,59.444698333699996,13.337400436400001,59.651901245117,17.918600082397
LYC,AJR,64.54830169677734,18.71619987487793,65.59030151367188,19.28190040588379
LYC,ARN,64.54830169677734,18.71619987487793,59.651901245117,17.918600082397
MHQ,ARN,60.122200012207,19.898199081421,59.651901245117,17.918600082397
